"periodo","casos","poblacion","tasa"
1980,18,8357474,0.215376081337495
1981,12,8519569,0.140852195692059
1982,12,8695031,0.138009858734259
1983,16,8833515,0.181128350379209
1984,38,8997055,0.422360427940031
1985,104,9187620,1.13195800435804
1986,138,9414654,1.46580001771706
1987,304,9704097,3.132697457579
1988,412,9996507,4.12143961885887
1989,599,10270326,5.83233677295151
1990,815,10551334,7.7241418004586
1991,962,10831406,8.88158010141989
1992,1055,11114528,9.49208099525234
1993,1300,11408886,11.3946269600731
1994,1761,11715473,15.0314033415467
1995,2084,12031297,17.3214907752672
1996,2293,12342928,18.5774396480316
1997,2607,12648512,20.61112010646
1998,3190,12965596,24.6035739506306
1999,4968,13233971,37.5397528073773
2000,5279,13499684,39.1046190414531
2001,6186,13797120,44.8354439187309
2002,6723,14053199,47.8396413514104
2003,8250,14238483,57.9415658255167
2004,7914,14308506,55.3097577063601
2005,8880,14460671,61.4079388155639
2006,9057,14724639,61.5091480341216
2007,9825,14902867,65.9269119156737
2008,10294,15154788,67.9257274994543
2009,11079,15454238,71.6890732496808
2010,11254,15785572,71.292950296638
2011,11814,16104402,73.3588245002826
2012,12915,16359789,78.9435609469046
2013,12690,16691071,76.0286742534377
2014,13938,17020953,81.887306780061
2015,15459,17261606,89.5571362247522
2016,14676,17505279,83.8375669419493
2017,15091,17757886,84.9819623799815
2018,14802,18031282,82.0906688720192
2019,14526,18354435,79.1416352505539
